id	location	interpretation
fr_269	anagram	sentir le sapin (mort imminente)/sapin (arbre de Noël)
fr_270	coupes	coupe {bois} / coupe {budget}
fr_271	irrationnels	irrationnel (sans lien avec la raison) / irrationnel {mathématiques}
fr_286	écrire l'histoire	"écrire l'histoire / ""écrire l'histoire"" (vivre un événement historique)"
fr_292	trou	trou (vide) / trou {taupe}
fr_308	derrière	derrière (au dos) / derrière (dans le passé)
fr_313	souris	souris (rongeur) / souris {informatique}
fr_321	acidité	acide (acidulé) / acide (méchant)
fr_322	couleuvre	"tirer (faire feu) / ""tirer au clair"" (élucider)"
fr_326	pétrin	"être dans le pétrin / ""être dans le pétrin"" (avoir des ennuis)"
fr_332	A B C Désastreux	A B C Désastreux / ah bé c'est désastreux
fr_339	impair	impair/imper (imperméable)
fr_351	tendre	tendre (tendresse) / tendre (tendreté)
fr_359	Maska-rades	Maska (rappeur) + mascarade
fr_360	Edam	edam / adam
fr_362	tournant	tournant (virage) / tournant (changement radical)
fr_363	Frisons	Frisons / frissons
fr_370	sueurs froides	"avoir des sueurs froides / ""avoir des sueurs froides"" (avoir peur)"
fr_372	oryx	oryx / risque
fr_373	alarmant	alarme (signal) / alarme (angoisse)
fr_388	énergie	énergie (vitalité) / énergie {physique}
fr_396	goût	goût (saveur) / goût (discernement)
fr_398	dégelée	dégelée / des gelées
fr_409	ils retombent sur leurs pieds	"retomber sur ses pieds / ""retomber sur ses pieds"" (s'en sortir)"
fr_416	bovine | divine	bovine / divine
fr_434	ramener sa fraise	"ramener sa fraise /  ""ramener sa fraise"" (intervenir)"
fr_437	chambré	chambré/chambre
fr_456	chèvre	"""être chèvre""/chèvre"
fr_459	toupet	toupet (mèche) / toupet (culot)
fr_474	caractère	caractère (personnalité) /  caractère {imprimerie}
fr_476	Elle & Virée	Elle & Virée / elle est virée
fr_477	alarmants	alarme (signal) / alarme (angoisse)
fr_482	dégainait	dégainer (dénuder un câble) / dégainer (tirer une arme)
fr_491	possessif	possessif {psychologie} / possessif {grammaire}
fr_497	de seconde main	"de seconde main (que pour la deuxième main) / ""de seconde main"" (d'occasion)"
fr_499	pieusement	pieux / pi
fr_512	tomber dedans	"tomber dedans / ""tomber dedans"" (découvrir par hasard)"
fr_521	tombée dans les pommes | raconter des salades	"""tomber dans les pommes""/pomme | ""raconter des salades""/salade"
fr_525	explosé	exploser (devenir agressif) / exploser (détoner)
fr_526	sécuriser | dévaliser	sécuriser / dévaliser
fr_529	s'accordaient	accord (entente) / accord {grammaire}
fr_530	sommairement	sommairement / somme
fr_531	prendriez	prendre (accepter)/prendre {médicaments}
fr_540	énergie	énergique (vigueur) / énergétique (électricité)
fr_546	en ont gros	"gros / ""en avoir gros"" (être contrarié)"
fr_554	suggestions	suggestion (conseil) / suggestion {hypnose}
fr_560	archi-tactique	architectural + tactique
fr_576	vêleraient rouge	vêleraient rouge / voieraient rouge
fr_580	guerre de nerf	Beurre de nerf (beurre dans Star Wars) / guerre de nerf (dispute d'endurance)
fr_589	esprit face à la soupière	soupière/matière
fr_590	fait rage	faire rage (se répend vite)/rage (colère)
fr_591	flamme	flamme (vif éclat, passion) / flamme {feu}
fr_605	épidermiques	creuser (forer) / creuser (étudier)
fr_616	était en scène	dur (résistant) / dur (insensible)
fr_620	brillamment	brillant (intelligent) / brillant (luisant) 
fr_634	pointu	pointu (piquant) / pointu (exigeant)
fr_635	compter	compter (dénombre) / compter (faire confiance)
fr_653	Eve-oulait	Eve + elle voulait
fr_655	brisez la glace	brisez la glace (lancer une conversation) / glace (glaçon pour alcool)
fr_660	concentration	concentration {jus} / concentration (attention) 
fr_674	zébu	zébu / début
fr_686	champ	champ (étendue de terre) / champ {mathématiques}
fr_691	résistance	résistance (endurance) / résisatnce {électricité}
fr_694	mar(c)qué	marqué + marc
fr_703	accident	accident (évènement qui blesse ou endommage) / accident (par hasard)
fr_706	compter	"compter (dénombrer) /  compter (faire confiance) ~ ""compter sur ses amis"" (faire confiance)"
fr_711	s'enflamma	s'enflammer (prendre feu) /  s'enflammer (s'exciter)
fr_714	Fatigué	Fatigué (nom) / fatigué (adjectif)
fr_715	se multiplient	se multiplier / multiplier {mathématiques}
fr_722	profonde	profonde (détaillée) / profonde (dimension)
fr_734	déclic	déclic (bruit) / déclic (idée)
fr_742	au fer	offert/ au fer
fr_747	se supporter	se supporter (s'entendre) / supporter (soutenir)
fr_756	prenons du poids	prendre du poids (grossir) / poids (altères)
fr_757	mordu la poussière	"""mordre la poussière"" (perdre)/mordre la poussière (aspirer)"
fr_758	pressés	presser (précipiter) / presser (repasser)
fr_779	consoler	consoler (appaiser une peine) / console
fr_780	répétate doucement	répéta doucement + patate douce
fr_795	ne se donnait pas les moyens	grenade (fruit) / grenade (explosif)
fr_801	balayé	balayé (battu) / balayé (brossé)
fr_824	intestinctives	intestin + instinctives
fr_852	expire	expirer (mourir) / expirer (échoir)
fr_853	compter fleurette	tracer / tirer
fr_861	pacifique	pacifique / spécifique
fr_881	périodique	périodique (périodiquement) /  périodique (magazine)
fr_885	obtuse	obtus (borné, entêté) / obtus (angle large)
fr_895	prenaient la mouche	prendre la mouche (se vexer) / mouche {escrime}
fr_900	développée	développer {photographie}/développer (améliorer) 
fr_903	fils	fil {textile} / fil (discussion)
fr_918	qui n'avait palais moyens	qui n'avait palais moyens / qui n'avait pas les moyens
fr_923	obus	obus (munition) / obus (seins) <balle; obus>
fr_939	intérêts	intérêt (curiosité) / intérêt {finances}
fr_948	de temps en temps | chaque jour	de temps en temps & chaque jour
fr_949	déracinés	"déracinés /  ""déracinés"" (délogés)"
fr_955	haut les coeurs	"""haut les coeurs"" (courage)/haut les coeurs (sens littéral)"
fr_971	canard	canard (oiseau) / canard (journal)
fr_976	Lenovo	Lenovo/le nouveau
fr_981	veines	veine (chance) / veine (vaisseau sanguin)
fr_987	couper le souffle	"""à couper le souffle"" (sens littéral)/""à couper le souffle"" (impressionant)"
fr_991	adresse	adresse {informatique} / adresse (adresse postale)
fr_995	cosiner	cosinus + signer
fr_1000	cerf	cerf / sert
fr_1017	battant	battant / batte {baseball}
fr_1018	autel | chœur	autel / hotel | chœur / cœur
fr_1030	rendu la monnaie de sa pièce	"""rendre la monnaie de sa pièce"" (se venger) / rendre la monnaie (redonner de l'argent)"
fr_1037	gecko	gecko / écho
fr_1047	point de vue	point de vue (point d'observation)/point de vue (opinion)
fr_1054	vain	vain / vin
fr_1059	rémoras	rémoras / remords
fr_1063	Constant	Constant (prénom)/constant (loyal)
fr_1067	obstacles | passé outre	"obstacle (difficulté) / obstacle (haie) | passer outre / ""passer outre"" (surmonter)"
fr_1074	montent au ciel	"""monter au ciel"" (décéder)/ciel (météorologie)"
fr_1079	assaisonnées	assaisonnées (réprimander) / assaisonnement (épices)
fr_1113	cônes	cônes / connes
fr_1116	déserte	désert / dessert
fr_1118	bzzutage	bzz (chant d'abeille) + bizutage
fr_1128	PDG	PDG (Président-directeur général) / PDG (Présence, Distinction et Grâce)
fr_1131	Monde	Monde (Terre) / monde (gens)
fr_1132	ampère	courant électrique / ampère
fr_1139	pointilleuse	pointilleux (exigeant) / pointe (clou)
fr_1141	et que ça saute	"sauter / ""et que ça saute"""
fr_1143	guimbarde	guimbarde (instrument de musique) / guimbarde (voiture)
fr_1148	se tasser	se tasser / cétacé ~ se casser
fr_1151	souder	souder (joindre par soudure) / sonder
fr_1167	maternité	maternité/éternité
fr_1181	brumeuse	brume / brumeux
fr_1185	tension	tension (dissentiment) / tension {électricité)
fr_1187	haut	haut (en hauteur) / haut (élevé dans la hiérarchie)
fr_1191	crocs	"""t'as les crocs"" / crocs"
fr_1213	l'âme en peigne	l'âme en peigne / l'âme en peine
fr_1216	tombé	tomber (choir) / tomber (devenir)
fr_1229	hélium | curium | barium	hélium (élément physique) / [english] heal (sortilège) | curium (élément physique) / [english] cure (sortilège) | barium (élément physique) / se barrer (fuir)
fr_1232	classe	classe (charme) / classe (salle)
fr_1234	réfléchissant	réfléchir (penser) / réfléchir (refléter)
fr_1241	racine	racine {végétal} / racine (origine)
fr_1243	brillante	brillant (génial) / brillant (lumineux)
fr_1262	identité	identité (personnalité) / identité {mathématiques}
fr_1279	sens	sens (perception) / sens (jugement)
fr_1287	passé à la trappe	"passer à la trappe /  ""passer à la trappe"" (disparaître)"
fr_1294	objectifs	objectif {photographie} / objectif (but)
fr_1301	Barbe à ras	Barbara / Barbe à ras 
fr_1317	prise	prise (branchement) / prise (point d'accroche)
fr_1320	volume	volume (quantité)/volume (son)
fr_1324	consonnant	consonnant / constant
fr_1325	se mit au galop | faisant cavalier seul	"galoper {cheval} / galoper ""battre vite"" | faire cavalier seul / ""faire cavalier seul"" (être indépendant) ~ <galop; cavalier>"
fr_1335	prennent tout au premier degré	prendre tout (voler)/prendre tout au premier degré (comprendre)
fr_1340	esprit d'équipe	"esprit d'équipe /  ""esprit d'équipe"" (moral)"
fr_1348	sans fond	"sans fond /  ""sans fond"" (sans fin)"
fr_1353	piaffe	piaffer / Piaf (Edith Piaf)
fr_1357	caustique	caustique (liquide acide) / caustique (acerbe et critique)
fr_1360	amertume	amer (pénible) / amer (acide)
fr_1366	plein le bol	"plein le bol / ""ras le bol"" (assez)"
fr_1379	sur le fil du rasoir	"être sur le fil du rasoir / ""être sur le fil du rasoir"" (être dans une situation délicate)"
fr_1382	le cœur de l’arène	le cœur de l’arène / le cœur de la reine
fr_1383	m'émeute	m'émeute / m'émeut
fr_1384	porc d'arme	porc + port d'arme
fr_1391	en vins	en vins / en vain
fr_1415	barbant	barbant / barbe
fr_1418	à la masse	"masse / ""à la masse"" (dépassé par les événements)"
fr_1425	propre	propre (qui appartient à une personne) / propre (qui est net, sans taches)
fr_1426	disjoncter	disjoncter (couper le courant) /  disjoncter (devenir fou)
fr_1430	raison	raison (argument) /  raison (lucidité)
fr_1444	batte	batte (battre) / batte {baseball}
fr_1445	grecs	flexibles (adaptables) / flexibles (souples)
fr_1448	accidents	accident (catastrophe) / accident (altération)
fr_1459	branche	branche (ramification du tronc d'un arbre) / branche (domaine d'activité)
fr_1462	sifflait	"siffler (chuinter) / siffler {musique} ~ ""siffler sur la colline"" (chanson de Joe Dassin)"
fr_1480	raccourci	raccourci (chemin plus rapide) / raccourci (moyen pour accélérer une tâche)
fr_1509	fond du trou | tomber plus bas	fond du trou/tomber plus bas
fr_1520	couleuvre	couleuvre / couleur
fr_1522	poule mouillée	"poule mouillée / ""poule mouillée"" (lâche) ~ <canard; poule>"
fr_1524	coâ	coâ / quoi
fr_1536	ampères	ampères / pères
fr_1554	décharge	décharge (soulagement moral)/décharge (évacuer la charge électrique)
fr_1561	tangente	"tangente {mathématiques} /  tangente (sortie) ~ ""prendre la tangente"""
fr_1573	compter	"compter (dénombrer) /  compter (faire confiance) ~ ""compter sur ses amis"" (faire confiance)"
fr_1579	battent	battent / batte {baseball}
fr_1588	ne peuvent plus se voir en photo	"ne pas pouvoir se voir en photo / ""ne pas pouvoir se voir en photo"" (ne pas se supporter)"
fr_1594	candide	candide (naïf) / Candide (personnage de Voltaire)
fr_1597	maïs	maïs / marre
fr_1606	tente	tente / tante
fr_1610	ce n'était pas du gâteau	"ne pas être du gâteau / ""ne pas être du gâteau"" (ne pas être facile)"
fr_1613	ailé-atoire	ailé-atoire / aléatoire
fr_1620	brut	brut (vulgaire) / brut (non raffiné)
fr_1633	coup de filet	"coup de filet / ""coup de filet"" (opération de police)"
fr_1641	tête froide	"tête froide / ""tête froide"" (calme)"
fr_1653	pris la clé des champs	"prendre la clé des champs  / ""prendre la clé des champs "" (partir)"
fr_1672	livrer	livrer / livre
fr_1686	être en froid	"froid / ""être en froid"" (être fâché)"
fr_1688	sué sang et eau	"suer sang et eau / ""suer sang et eau"" (faire beaucoup d'efforts)"
fr_1694	jaune	jaune (couleur)/jaune (une personne asiatique)
fr_1696	luth	luth / lutte
fr_1701	compter	"compter (dénombrer) /  compter (faire confiance) ~ ""compter sur ses amis"" (faire confiance)"
fr_1707	frapper un grand coup	"frapper un grand coup / ""frapper un grand coup"" (impressionner)"
fr_1725	impression	"""laisser mauvaise impression"" (une mauvaise image de soi) / impression (un imprimé, une trace)"
fr_1737	c'est du vent	"c'est du vent /  ""c'est du vent"" (ça n'a pas de réalité)"
fr_1740	imprégnée	s'imprégner (se saturer) / s'imprégner (être marqué)
fr_1741	le groupement	le groupement / le groupe ment
fr_1752	paperasse | plier en quatre | 1 | 2 | 3	"<paperasse; plier en quatre> | 1, 2, 3 (étapes origami) ~ paperasse {administratif}/paperasse (papier) | ""se plier en quatre"" (faire son maximum)/plier en quatre (plier du papier) "
fr_1753	steamuler | esteame	steamuler / stimuler | esteame / estime
fr_1755	pressés	presser (précipiter) / presser (repasser)
fr_1760	pique	pique (vole) / pique (tatouer)
fr_1775	bouffe	bouffer (manger)/bouffer (familier, sexuel)
fr_1778	être sans voix	"""être sans voix"" (bouche-bée)/sans voix (sens littéral)"
fr_1794	couverture	couverture (édredon) / couverture (protection)
fr_1799	développer	développer {photographie} / développer (croître)
fr_1802	textile cher chez lui | texte, il cherchait, lui	"""texte, il cherchait, lui"", ""textile cher chez lui"""
fr_1803	semainier	semainier / se manier
fr_1807	Gladys	pour qui sonne Gladys / pour qui sonne le glas (roman d'Ernest Hemingway)
fr_1833	barres	barres / bars
fr_1848	compta	conter / compter
fr_1849	bombe	bombe (explosif) / bombe (belle femme)
fr_1852	remuer	remuer (bouger)/remuer (mélanger un plat)
fr_1867	but	but (objectif) / but {sport}
fr_1886	expressions	expression {mathématiques} / expression {visage}
fr_1891	impression	impression {imprimerie} / impression (opinion)
fr_1902	pucé	pucé (identifié) / puce (parasite)
fr_1910	gagner leur croûte	"gagner sa croûte / ""gagner sa croûte"" (travailler)"
fr_1913	a son grès	possessif {psychologie} / possessif {grammaire}
fr_1916	haut	haut (en hauteur) / haut (élevé dans la hiérarchie)
fr_1918	chouette	chouette (amusant) / chouette {animal}
fr_1930	chimie	chimie (science) / chimie (amour)
fr_1939	chaux	chaux / chaud
fr_1958	racines	racine (origine) / racine {végétal}
fr_1961	chambrer	chambrer (se moquer) / chambre (pièce)
fr_1975	fraise	fraise (fruit) / fraise {dentiste}
fr_1983	fraise	fraise (fruit) / fraise {dentiste}
fr_1989	azurance	Côte d'Azur + assurance
fr_2004	il avait la bouche en cul de poule	"""avoir la bouche en cul de poule"" (faire la moue) <volaille; viande; bouche; poule>"
fr_2006	gaiement	gai / gay
fr_2019	réaction	réaction / réaction (réaction chimique)
fr_2026	Ori	Ori/a ri
fr_2042	temps-du	temps {grammaire} + tendu
fr_2044	pommés	(choux) pommés / pommer (être perdu)
fr_2111	chiffres	chiffre (nombre) / chiffre (résultat)
fr_2121	Martell | martèlent	Martell / martèlent
fr_2123	se retourne dans sa tombe	"se retourner dans sa tombe / ""se retourner dans sa tombe"" (être choqué)"
fr_2155	grue	grue (animal proche du cygne) / grue (engin pour matériau lourd)
fr_2170	par cœur	"cœur / ""par cœur"""
fr_2178	Dereck	Derek (prénom) / derrick (tour de forage)
fr_2193	eaux séant	eaux séants / océans
fr_2194	déraille	dérailler (quitter ses rails) / dérailler (divaguer)
fr_2200	nues	nue (nuage) / nue (dénudée)
fr_2202	piège	piège (pour animaux)/piège (sens figuré)
fr_2208	chute	chute (conclusion) / chuter (tomber)
fr_2227	pieux	pieux (piété) / pieu (pal)
fr_2234	air	air (atmosphère) /  air (attitude)
fr_2238	un beau coup	coup (choc) / coup (acte décisif)
fr_2241	pointa	pointer (indiquer) / pointe {pied}
fr_2242	alliages	alliages / alliés
fr_2266	identité	identité (personnalité) / identité {mathématiques}
fr_2267	isolant	isolant / insolent
fr_2282	n'en finira jamais	"""ne jamais en finir"" (très long)/ne jamais en finir (infini)"
fr_2285	cibler	cibler (diriger son tir) / cibler (avoir un objectif)
fr_2298	couverture	couverture (édredon) / couverture (protection)
fr_2307	in-veste-tisse-ment	in + veste+ tisse + ment / investissement
fr_2321	dur	dur (résistant) / dur (méchant)
fr_2326	en demi-teinte	"en demi-teinte /  ""en demi-teinte"" (mitigé)"
fr_2336	Café terrien	Café terrien/caféteria
fr_2344	pâte	mettre la main à la pâte (pétrir) / mettre la main à la pâte (se mettre au travail)
fr_2355	se retourneraient sur leur broche	"se retourneraient sur leur broche / ""se retourner dans sa tombe"" ~ poulet à la broche"
fr_2367	réception	réception (cérémonie) / réception (réception satellite)
fr_2380	déconfiture	déconfiture / des confitures
fr_2392	ski	ski / si
fr_2435	pris du recul	"""prendre du recul"" (reculer)/prendre du recul (faire marche arrière)"
fr_2441	Occident	occident / accident
fr_2447	bourreaux	bourreaux / bouleaux (arbre)
fr_2456	farce	farce / force
fr_2457	repos	repos (sommeil) /  repos {armée}
fr_2492	encaisser	encaisser (recevoir de l'argent) / encaisser (supporter)
fr_2498	pilule	"pilule (contraception) / ""avaler la pilule"" (accepter)"
fr_2501	nausée | malade	"lacté {lait} / ""voie lactée"" (galaxie)"
fr_2508	infructueusement	infructueusement / fruit
fr_2516	collocs attérés	collocs attérés / colocataires
fr_2535	flo-combat	flocon + combat
fr_2536	blé	"blé (céréale) / blé (argent) ~ ""se faire du blé"""
fr_2539	caisse	caisse (grosse caisse) / caisse (caisse enregistreuse)
fr_2562	queue	"""ni queue ni tête"" / queue <billard>"
fr_2568	volière	volière / Molière
fr_2576	creusent	creuser (excaver) / creuser (approfondir)
fr_2587	attraction	attraction {physique} / attraction (attrait)
fr_2590	craquais	craquer/craquer
fr_2600	legendes	bloc (intégralité) / bloc {timbre}
fr_2613	rabâche	rabâche / Bach (Jean-Sébastien Bach)
fr_2617	notamment	notamment / note ~ <musique;note>
fr_2622	rayon	"rayon {vélo} / ""en connaître un rayon"" (en savoir beaucoup) "
fr_2643	et que ça saute	"sauter / ""et que ça saute"""
fr_2644	impie	impie / un pi
fr_2648	grimmaça	Grimm (frères Grimm) + grimacer
fr_2655	thym	thym / teint
fr_2667	César	César (prénom) / César (récompense)
fr_2711	barre	barre {tribunal} / barre {bateau}
fr_2712	un orteil	un orteil / une oreille
fr_2752	Mazout	mazout / mazette
fr_2757	clebs USB	clé USB + clebs
fr_2777	fourrure-nisseur | truffes	fourrure-nisseur (fourrure + fournisseur) | truffe (nez de chien) / bonne truffe (bonne tête)
fr_2783	ne s'est lacet	ne s'est lacet / ne s'est lassé
fr_2786	frais	frais (cool) / frais (froid)
fr_2787	secant	sécant / seconde
fr_2801	aiguillonner	corde {guitare} / corde {pendu}
fr_2816	deux suites	deux suites / de suite
fr_2821	apparenter	apparenter / parent
fr_2826	instrumentalisé	instrumentaliser (manipuler) / instrument {musique}
fr_2828	au dessus de ça	"au dessus de ça /  ""au dessus de ça"" (ne pas se sentir concerné)"
fr_2849	sinus	sinus {mathématiques} / sinus {nez}
fr_2861	rédaction	rédaction / réduction
fr_2866	expirent	"faire porter le chapeau /  ""faire porter le chapeau"" (accuser)"
fr_2868	cimentée	"cimenter / ""cimenter"" (consolider)"
fr_2874	Monet	Monet / monnaie
fr_2881	sauter	"sauter / ""sauter sur les bonnes affaires"""
fr_2883	tiquer	tiquer / ticket
fr_2884	facultés	facultés (capacités) / facultés (universités)
fr_2905	enroulée	enroulée / enrouée
fr_2907	mineurs	mineurs (moins de 18ans) / mineurs (qui travaille dans les mines)
fr_2928	César	suivre à la lettre (exactement)/lettre (alphabet)
fr_2932	relativement	relativement (subjectivité) / relativité (loi d'Einstein)
fr_2941	colombe	colombe (oiseau) /  Colombe (prénom)
fr_2946	illusion	illusion/allusion
fr_2947	folie	folie/folie
fr_2976	élémentaire	élémentaire (basique) / élémentaire (relatif aux éléments physiques)
fr_2979	souffler le chaud et le froid	"souffler le chaud et le froid /  ""souffler le chaud et le froid"" (dire tout et son contraire)"
fr_2980	frisons | frissonnent	frisons / frissonnent
fr_3010	Oscar	Oscar (prénom) / Oscar (récompense)
fr_3022	gaiement	gai / gay
fr_3023	grillée	grillé (rôti) / grillé (fichu)
fr_3035	gril	gril (barbecue) /  gril (interrogatoire)
fr_3040	épicurie	épicurie / épicerie
fr_3051	surmontées	surmonter (dépasser) / monter {cuisine} ~ <blancs en neige; omelette; monter>
fr_3059	à la fleur de l'âge	"à la fleur de l'âge /  ""à la fleur de l'âge"" (jeune)"
fr_3097	ils finissent juste par sortir de leurs gonds	"sortir de ses gonds / ""sortir de ses gonds"" (s'énerver)"
fr_3117	ruines	ruine (perte)/ruines (vestiges, décombres de bâtiments)
fr_3118	assommé	électrique (énergie) / électrique (tendu)
fr_3122	chez amère	chez amère / chez sa mère
fr_3127	pété un câble	"péter un câble / ""péter un câble"" (devenir fou)"
fr_3137	apatite	apatite / appétit
fr_3146	bêle	bêle / bel
fr_3151	précipitation	équitable + couteau
fr_3172	trois-matisme	traumatisme + trois-mâts.
fr_3202	hôtels | hostiles	hôtels / hostiles
fr_3206	le vent en poupe	"avoir le vent en poupe /  ""avoir le vent en poupe"" (avoir du succès)"
fr_3211	facultés	facultés (universités) / facultés (capacités)
fr_3218	papo-THÉ	papoter + thé
fr_3229	tenir	tenir (soutenir)/tenir sa langue (se taire)
fr_3236	l'an-nez	l'an-nez / le nez
fr_3239	d'ouverture et de fermeture	ouverture et fermeture (porte) / ouverture et fermeture (activité)
fr_3248	amul | pillule	amul / pillule
fr_3254	racine	racine {végétal} / racine (origine)
fr_3264	sous un autre jour	"compter (dénombrer) /  compter (faire confiance) ~ ""compter sur ses amis"" (faire confiance)"
fr_3265	chantier	chantier / chant
fr_3271	niveaux	niveau (étage) / niveau (point)
fr_3297	allume	allumer (allumer une cigarette) / allumer (draguer)
fr_3299	de vie à tripe	de vie à tripe / de vie à trépas
fr_3306	abstrait	abstrait (décalé) / abstrait (style de peinture)
fr_3313	froids	froid (température)/froid (caractère)
fr_3321	ouverture	ouverture (opportunité)/ouverture (entrée)
fr_3324	passé l'arme à gauche	"passer l'arme à gauche / ""passer l'arme à gauche"" (mourir) ~ droite & gauche"
fr_3329	négativement	négativement (air grave) / négatif (le négatif d'une photo)
fr_3347	mettre la main à la pâte	"""mettre la main à la pâte"" (apporter son aide) / mettre la main à pâte (pétrir la pâte à pain)"
fr_3351	batterie	batterie (pile) / batterie (série)
fr_3353	au plus profond de vous	le plus profond {âme} / le plus profond {corps} 
fr_3358	Serge-Jean	Serge-Jean / sergent
fr_3361	teinté	teinter / tenter
fr_3365	remuer	remuer (s'agiter) / remuer (mélanger)
fr_3373	rouge | bleue	rouge (couleur) / rouge {viande} | bleu (couleur) / bleu {cuisson}
fr_3392	réfléchissant	réfléchir (penser) / réfléchir (refléter)
fr_3405	pécheurs | pécher | pêche	pécheur / pêcheur | pécher / pêcher | pêche (halieutique) / pêche (vitalité) ~ <pécheur; pécher; pêche; empêcher>
fr_3436	couteau	couteau / côté
fr_3457	enfumés	enfumer (remplir de fumée) / enfumer (tromper)
fr_3460	bombe	bombe (explosif) / bombe (belle femme)
fr_3463	nerfs	"""à bout de nerfs"" / nerfs"
fr_3474	au pied de la lettre	"au pied de la lettre /  ""au pied de la lettre"" (précisément)"
fr_3482	impression	impression {imprimerie} / impression (opinion)
fr_3488	s-canner	scanner + caner
fr_3491	Iris	Iris (prénom) / Iris {œil}
fr_3494	a rattachée	rattacher (relier) / rattacher (attacher de nouveau)
fr_3495	se jeter à l'eau	"se jeter à l'eau /  ""se jeter à l'eau"" (oser)"
fr_3499	animé	animé (vivant) / animé (mis en mouvement)
fr_3508	à souper	"à souper (manger)/à souper (être mangé)
"
fr_3513	numéro	numéro (spectacle)/numéro (chiffre)
fr_3521	cible	cible {tir à l'arc}/cible (proie)
fr_3528	haricots | carottes | salades	"""gagner son pain"" (gagner sa vie)/pain (boulangerie)"
fr_3535	planter	planter (semer) / planter (ancrer)
fr_3540	ouvert les yeux	"""ouvrir les yeux"" (voir les choses différemment)/ouvrir les yeux (se réveiller)"
fr_3544	avoir chaud	rebondir (faire un bond) / rebondir (prendre un nouveau départ)
fr_3549	savonné	savonner (nettoyer) / savonner (réprimander)
fr_3553	ils font la paire	faire la paire (être semblables) / paire {cartes}
fr_3560	ça tombeau bon moment	ça tombeau bon moment / ça tombe au bon moment
fr_3573	toile	toile {araignée} / toile (réseau) | tisser (filer) / tisser (élaborer)
fr_3597	chœur	patiente/patience
fr_3603	inde-essence	Inde + essence ~ inde-essence / Indécence 
fr_3609	capo	capo (capodastre) / capot
fr_3611	perdent juste la boule	"""perdre la boule"" (devenir fou)/boule (boule de cristal)"
fr_3614	visait	viser (diriger son tir) / viser (avoir un objectif)
fr_3619	psaumes	psaumes / paumes
fr_3621	coing	coing / coin
fr_3622	fleurit	fleurir (s'épanouir) / fleurir (croître)
fr_3627	ne faisait pas le poids	"ne pas faire le poids / ""ne pas faire le poids"" (ne pas être capable)"
fr_3631	rouge comme une tomate	"""rouge comme une tomate"""
fr_3633	sous l'eau	"être sous l'eau / ""être sous l'eau"" (être débordé de travail)"
fr_3639	négatif	négatif (refus) / négatif {photographie}
fr_3653	pieusement	pieusement / pi
fr_3661	bison fûté	"""bison fûté"" (marque déposée)"
fr_3664	souffler sur le feu	"souffler sur le feu /  ""souffler sur le feu"" (aggraver les tensions)"
fr_3667	problèmes	problèmes (difficultés) / problèmes {mathématiques}
