id_en	text_fr	text_clean
en_110	"Ça a le goût du plutonium", dit Tom radieux.	"Ça a le goût du plutonium", dit Tom radieux.
en_110	Ce plat a goût de plutonium", dit Tom, radieux	Ce plat a goût de plutonium", dit Tom, radieux
en_110	Cette nourriture a le goût de plutonium, à dit Tom brillamment.	Cette nourriture a le goût de plutonium, à dit Tom brillamment.
en_110	" Ce plat a goût de plutonium " dit Tom d'un air radieux.	" Ce plat a goût de plutonium " dit Tom d'un air radieux.
en_110	Cette nourriture à un goût de plutonium, dit Tom si brillamment.	Cette nourriture à un goût de plutonium, dit Tom si brillamment.
en_110	Ce plat a un goût de plutonium, dit Tom, irradiant la joie.	Ce plat a un goût de plutonium, dit Tom, irradiant la joie.
en_110	"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.	"Ce plat a le goût de plutonium", dit Tom, les yeux brillants et la mine radieuse.
en_110	"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.	"Cette nourriture a un goût de plutonium", dit Tom, les yeux brillants.
en_110	"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.	"Ce repas a le goût de plutonium", dit Tom avec un sourire irradieux.
en_1106	Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.	Les vieux dactylographes ne meurent jamais, ils perdent juste leur touche spéciale.
en_1107	Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.	Cette sauce salade contient trop de vinaigre, dit Tom d'un ton acide.
en_1107	"Ce dressing de salade a trop de vinaigre", dit Tom acidement.	"Ce dressing de salade a trop de vinaigre", dit Tom acidement.
en_1107	« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.	« Cette vinaigrette à salade contient trop de vinaigre, a dit Tom acidulément.
en_1107	Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu	Quel est le comble pour un étudiant en cuisine qui n'arrive pas à faire de sauce salade au vinaigre ? D'être assidu
en_111	Tu sais que le boulanger du coin paye ses employés au blé noir ?	Tu sais que le boulanger du coin paye ses employés au blé noir ?
en_111	On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.	On ne peut pas dire que le boulanger du coin paie bien ses employés, il les roule dans la farine.
en_111	Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.	Le boulanger du quartier payait à peine ses employés alors qu'il est plein de blé.
en_111	Le boulanger local payait son personnel sur la base d'un taux faramineux.	Le boulanger local payait son personnel sur la base d'un taux faramineux.
en_111	Le primeur du quartier paye ses employés selon le salade horaire moyen.	Le primeur du quartier paye ses employés selon le salade horaire moyen.
en_1120	Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.	Les vieux politiciens ne meurent jamais, ils ne sont juste plus trop dans leur état normal.
en_1121	Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.	Certaines personnes pensent que les exercices d’incendie peuvent amener les gens à se blesser dans le feu de l’action.
en_1121	Certaines personnes trouvent les exercices incendie très alarmant	Certaines personnes trouvent les exercices incendie très alarmant
en_1121	Pour certains, les exercices d'incendie sont alarmants.	Pour certains, les exercices d'incendie sont alarmants.
en_1121	Certaines personnes trouvent les exercices d’incendie plutôt alarmant.	Certaines personnes trouvent les exercices d’incendie plutôt alarmant.
en_1121	Certains trouvent que les sirènes incendies ont un effet alarmant.	Certains trouvent que les sirènes incendies ont un effet alarmant.
en_1121	Certains trouvent les exercices incendie très alarmants.	Certains trouvent les exercices incendie très alarmants.
en_1121	Certaines personnes trouvent les exercices d'incendie alarmants.	Certaines personnes trouvent les exercices d'incendie alarmants.
en_1121	Certains trouvent les exercices d'évacuation incendie assez alarmants.	Certains trouvent les exercices d'évacuation incendie assez alarmants.
en_1121	Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.	Certaines personnes trouvent que les exercices d'évacuation incendie très alarmants.
en_1121	Les simulations d'incendie, certains trouvent ça alarmant.	Les simulations d'incendie, certains trouvent ça alarmant.
en_114	Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.	Un fleuriste ne meurt jamais, seulement, il perd de sa fraîcheur.
en_114	Un fleuriste ne meurt jamais : il est juste surbooké.	Un fleuriste ne meurt jamais : il est juste surbooké.
en_114	Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.	Les vieux fleuristes ne meurent jamais parce qu’ils sont de bonne composition.
en_114	Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.	Les vieux fleuristes ne meurent jamais, car ils continuent à voir la vie en rose.
en_114	Les vieux fleuristes ne meurent jamais, il se composent juste différemment.	Les vieux fleuristes ne meurent jamais, il se composent juste différemment.
en_1144	Va chercher Guevara ! cria Toto en havanant	Va chercher Guevara ! cria Toto en havanant
en_1144	"Allez! Va chercher mon chien!", lança Toto.	"Allez! Va chercher mon chien!", lança Toto.
en_1146	Le responsable anti-incendie était toujours mis sur le gril.	Le responsable anti-incendie était toujours mis sur le gril.
en_1146	Le directeur de cabinet posait toujours des questions pressantes.	Le directeur de cabinet posait toujours des questions pressantes.
en_1146	Le chef des pompiers brûlait toujours d'envie de poser des questions importantes	Le chef des pompiers brûlait toujours d'envie de poser des questions importantes
en_1146	Le capitaine des pompiers se charge toujours des question les plus brûlantes.	Le capitaine des pompiers se charge toujours des question les plus brûlantes.
en_1146	On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.	On laissait toujours le capitaine des pompiers s'occuper des sujets brûlants.
en_1146	On demandait toujours au chef des pompiers des questions brûlantes	On demandait toujours au chef des pompiers des questions brûlantes
en_1146	C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.	C’est toujours au chef des pompiers qu’étaient posées les questions brûlantes.
en_1146	Une question brûlait les lèvres du chef des pompiers.	Une question brûlait les lèvres du chef des pompiers.
en_1146	On interrogeait souvent le chef des pompiers sur l'actualité brûlante.	On interrogeait souvent le chef des pompiers sur l'actualité brûlante.
en_1146	Le chef des pompiers avait l'habitude de poser des questions brûlantes.	Le chef des pompiers avait l'habitude de poser des questions brûlantes.
en_1146	Le chef des pompiers se voyait toujours poser les questions les plus brûlantes.	Le chef des pompiers se voyait toujours poser les questions les plus brûlantes.
en_1146	Ça nous brûle les lèvres de poser ces questions au chef des pompiers.	Ça nous brûle les lèvres de poser ces questions au chef des pompiers.
en_1146	Le chef des pompiers traitait toujours de sujets brûlants.	Le chef des pompiers traitait toujours de sujets brûlants.
en_1146	Le capitaine des sapeur-pompiers posait toujours des questions à chaud.	Le capitaine des sapeur-pompiers posait toujours des questions à chaud.
en_1146	Le capitaine des pompiers devait toujours répondre à des questions brûlantes.	Le capitaine des pompiers devait toujours répondre à des questions brûlantes.
en_1146	Le capitaine des pompiers devait sans cesse répondre à des questions, il était sur des charbons ardents.	Le capitaine des pompiers devait sans cesse répondre à des questions, il était sur des charbons ardents.
en_1146	On posait toujours toujours d’ardentes questions au chef des pompiers.	On posait toujours toujours d’ardentes questions au chef des pompiers.
en_1146	Le pompier devait toujours répondre à des questions brûlantes.	Le pompier devait toujours répondre à des questions brûlantes.
en_1146	Le chef de la caserne était assailli de journalistes enflammés.	Le chef de la caserne était assailli de journalistes enflammés.
en_1146	Le pompier en chef était constamment arrosé de questions brûlantes	Le pompier en chef était constamment arrosé de questions brûlantes
en_1146	Le chef des pompiers était souvent pris entre deux feux par les questions explosives.	Le chef des pompiers était souvent pris entre deux feux par les questions explosives.
en_1146	On posait toujours des questions brûlantes au chef des pompiers.	On posait toujours des questions brûlantes au chef des pompiers.
en_1146	Les questions les plus brûlantes étaient toujours réservées au chef des pompiers.	Les questions les plus brûlantes étaient toujours réservées au chef des pompiers.
en_1146	Le chef des pompiers avait toujours droit aux questions brûlantes.	Le chef des pompiers avait toujours droit aux questions brûlantes.
en_1146	Le chef des pompiers se voyait toujours poser des questions brûlantes.	Le chef des pompiers se voyait toujours poser des questions brûlantes.
en_1157	Ils ont sué sang et eau avant d’atteindre le sauna et échapper au tueur.	Ils ont sué sang et eau avant d’atteindre le sauna et échapper au tueur.
en_1157	Pour échapper au bandit armé, ils se sont cachés dans un sauna, même si ça les faisait suer (d’attendre là).	Pour échapper au bandit armé, ils se sont cachés dans un sauna, même si ça les faisait suer (d’attendre là).
en_1157	Ils ont échappé au tireur et se sont cachés dans un sauna où ils ont pu s’armer de patience en suant.	Ils ont échappé au tireur et se sont cachés dans un sauna où ils ont pu s’armer de patience en suant.
en_1157	Leur poursuite jusque dans un sauna par un tueur à gages leur donna des sueurs froides.	Leur poursuite jusque dans un sauna par un tueur à gages leur donna des sueurs froides.
en_1157	Ils se sont réfugiés dans le sauna pour échapper au tireur, qui leur a donné des sueurs froides.	Ils se sont réfugiés dans le sauna pour échapper au tireur, qui leur a donné des sueurs froides.
en_1157	Ils se cachèrent du tireur dans un sauna où ils pouvaient laisser couler.	Ils se cachèrent du tireur dans un sauna où ils pouvaient laisser couler.
en_1157	Ils n'avaient pas froid aux yeux, mais la vue du tireur isolé leur glaça le sang ; blessés, ils suèrent sang et eau pour aller se réfugier dans le sauna, seul abri à proximité.	Ils n'avaient pas froid aux yeux, mais la vue du tireur isolé leur glaça le sang ; blessés, ils suèrent sang et eau pour aller se réfugier dans le sauna, seul abri à proximité.
en_1157	Les passants ont trouvé refuge dans un sauna lors d'une fusillade. On peut dire qu'ils ont eu chaud.	Les passants ont trouvé refuge dans un sauna lors d'une fusillade. On peut dire qu'ils ont eu chaud.
en_1157	Ils se sont cacher du tireur dans un sauna où ils pouvaient évacuer	Ils se sont cacher du tireur dans un sauna où ils pouvaient évacuer
en_1157	Ils se sont cachés du tireur dans une chambre frigorifique, où ils ont pu garder leur sang froid.	Ils se sont cachés du tireur dans une chambre frigorifique, où ils ont pu garder leur sang froid.
en_1157	Ils s'étaient cachés dans un sauna pour faire croire à leur poursuivant qu'ils s'étaient évaporés	Ils s'étaient cachés dans un sauna pour faire croire à leur poursuivant qu'ils s'étaient évaporés
en_1157	Ils échappèrent au tireur en se cachant dans un sauna, où ils attendirent la fin de l'échauffourée	Ils échappèrent au tireur en se cachant dans un sauna, où ils attendirent la fin de l'échauffourée
en_1157	Ils se sont cachés dans le sauna en attendant que le tireur s’évapore.	Ils se sont cachés dans le sauna en attendant que le tireur s’évapore.
en_1157	Ils se sont cachés du tireur dans un champ pour le semer.	Ils se sont cachés du tireur dans un champ pour le semer.
en_1157	Pour échapper au tireur, ils se cachèrent dans le sauna. Ils ont eu chaud.	Pour échapper au tireur, ils se cachèrent dans le sauna. Ils ont eu chaud.
en_1157	Ils se cachèrent du bandit armé, se faufilant dans le sauna si discrètement que rien ne le laissait transpirer.	Ils se cachèrent du bandit armé, se faufilant dans le sauna si discrètement que rien ne le laissait transpirer.
en_1157	Ils se cachèrent du tireur en se réfugiant dans un sauna, où ils purent transpirer un coup.	Ils se cachèrent du tireur en se réfugiant dans un sauna, où ils purent transpirer un coup.
en_1157	Poursuivis par un tueur, ils se cachèrent dans un sauna en attendant de trouver un moyen de renverser la vapeur.	Poursuivis par un tueur, ils se cachèrent dans un sauna en attendant de trouver un moyen de renverser la vapeur.
en_1157	Cachés dans le sauna pour échapper au tireur, ils ont eu leurs vapeurs.	Cachés dans le sauna pour échapper au tireur, ils ont eu leurs vapeurs.
en_1157	Ils se sont cachés du tireur dans un sauna; ça commençait à devenir chaud !	Ils se sont cachés du tireur dans un sauna; ça commençait à devenir chaud !
en_1157	Ils se sont mis à l'abri du tireur dans un sauna afin de prendre la température de la situation.	Ils se sont mis à l'abri du tireur dans un sauna afin de prendre la température de la situation.
en_116	L'astronaute a affirmé avoir découvert une nouvelle étoile, mais personne ne l'a pris au Sirius.	L'astronaute a affirmé avoir découvert une nouvelle étoile, mais personne ne l'a pris au Sirius.
en_116	Quelle est la boisson énergisante préférée des extraterrestres ? Alpha Centaurine	Quelle est la boisson énergisante préférée des extraterrestres ? Alpha Centaurine
en_116	L'astronaute a fait une déclaration sur une étoile bien connue, et ce n'était pas un mentar.	L'astronaute a fait une déclaration sur une étoile bien connue, et ce n'était pas un mentar.
en_116	En découvrant cette nouvelle étoile, la Russie fit Dombay la chemise.	En découvrant cette nouvelle étoile, la Russie fit Dombay la chemise.
en_116	L'astronaute a fait une déclaration sur une étoile bien connue, mais ça n'a pas perse.	L'astronaute a fait une déclaration sur une étoile bien connue, mais ça n'a pas perse.
en_1160	La robe en satin était parfaite. Les deux nœud-nœuds de chaque côté de la mariée n'ont fait que l'embellir.	La robe en satin était parfaite. Les deux nœud-nœuds de chaque côté de la mariée n'ont fait que l'embellir.
en_1169	Les vieux PROFESSEURS ne meurent jamais, ils perdent juste leur classe.	Les vieux PROFESSEURS ne meurent jamais, ils perdent juste leur classe.
en_1169	Les vieux profs ne meurent jamais, ils perdent juste leur classe.	Les vieux profs ne meurent jamais, ils perdent juste leur classe.
en_1169	LES VIEUX PROFESSEURS ne meurent jamais, ils perdent juste leur classe.	LES VIEUX PROFESSEURS ne meurent jamais, ils perdent juste leur classe.
en_1171	Pasteur était en train de bouillir à propos de ne pas être invité.	Pasteur était en train de bouillir à propos de ne pas être invité.
en_1171	Pasteur bouillait de ne pas avoir été invité.	Pasteur bouillait de ne pas avoir été invité.
en_1171	Le cur de Pasteur s'est bouilli à la suite de son refus d'être invité.	Le cur de Pasteur s'est bouilli à la suite de son refus d'être invité.
en_1176	Parfois, un taille-crayon est nécessaire pour faire un bon point.	Parfois, un taille-crayon est nécessaire pour faire un bon point.
en_1176	Il y a des moments où un outil de pointage est nécessaire pour faire une bonne pointe.	Il y a des moments où un outil de pointage est nécessaire pour faire une bonne pointe.
en_1178	Les cuisiniers ont beaucoup de piment dans leur vie.	Les cuisiniers ont beaucoup de piment dans leur vie.
en_1181	Les vieux élagueurs ne meurent pas, ils s'enracinent.	Les vieux élagueurs ne meurent pas, ils s'enracinent.
en_1181	Les vieux chirurgiens spécialistes des arbres ne meurent pas, mais ils perdent leurs racines.	Les vieux chirurgiens spécialistes des arbres ne meurent pas, mais ils perdent leurs racines.
en_1181	Les garde forestiers ne meurent jamais, ils sont juste déracinés.	Les garde forestiers ne meurent jamais, ils sont juste déracinés.
en_1181	Un arboriculteur ne meurt pas, il est déraciné.	Un arboriculteur ne meurt pas, il est déraciné.
en_1181	Les vieux élagueurs ne meurent jamais, ils changent de pays et sont déracinés.	Les vieux élagueurs ne meurent jamais, ils changent de pays et sont déracinés.
en_1181	Les médecins des arbres ne meurent jamais, ils sont juste déracinés.	Les médecins des arbres ne meurent jamais, ils sont juste déracinés.
en_1181	Un élagueur ne meurt jamais, seulement, on le débranche.	Un élagueur ne meurt jamais, seulement, on le débranche.
en_1184	Le mannequin a avoué que son travail du jour devait sûrement être bâclé, il n'avait fait aucune pose	Le mannequin a avoué que son travail du jour devait sûrement être bâclé, il n'avait fait aucune pose
en_1195	Un plombier, ça ne meurt pas, ça évacue, c'est tout.	Un plombier, ça ne meurt pas, ça évacue, c'est tout.
en_1195	Un vieux plombier ne meurt jamais, seulement, ils devient un peu bouché.	Un vieux plombier ne meurt jamais, seulement, ils devient un peu bouché.
en_1195	Les vieux plombiers ne meurent jamais, c'est juste qu'ils ne sont plus bien tuyautés.	Les vieux plombiers ne meurent jamais, c'est juste qu'ils ne sont plus bien tuyautés.
en_1195	Les vieux plombiers ne meurent jamais mais ils ont souvent des ennuis de tuyauterie.	Les vieux plombiers ne meurent jamais mais ils ont souvent des ennuis de tuyauterie.
en_1195	Les vieux plombiers ne meurent jamais, ils deviennent juste siphonnés.	Les vieux plombiers ne meurent jamais, ils deviennent juste siphonnés.
en_1195	Les plombiers ne meurent pas, seulement, ils peuvent avoir des fuites.	Les plombiers ne meurent pas, seulement, ils peuvent avoir des fuites.
en_1204	Les chats, en en Afrique du Sud, ont toujours trouvé un gnou pour s’asseoir.	Les chats, en en Afrique du Sud, ont toujours trouvé un gnou pour s’asseoir.
en_1204	En Iran, ils n'aiment pas les chiens ; là-bas, c'est le Shah qui est roi.	En Iran, ils n'aiment pas les chiens ; là-bas, c'est le Shah qui est roi.
en_1210	Le gardien d'un grand cimetière était important parce qu'il avait 5000 personnes sous lui.	Le gardien d'un grand cimetière était important parce qu'il avait 5000 personnes sous lui.
en_1210	Le jardinier d'un grand cimetière était important parce qu'il comptait 5 000 personnes sous lui.	Le jardinier d'un grand cimetière était important parce qu'il comptait 5 000 personnes sous lui.
en_1210	Le gardien de terrain d'un grand cimetière était important parce qu'il avait 5000 personnes sous lui.	Le gardien de terrain d'un grand cimetière était important parce qu'il avait 5000 personnes sous lui.
en_1211	Un petit garçon appelait son père qui faisait des ballons "pop".	Un petit garçon appelait son père qui faisait des ballons "pop".
en_1223	Castre ton chien, mieux vaut prévenir que courir après des chiots.	Castre ton chien, mieux vaut prévenir que courir après des chiots.
en_1223	Fais châtrer ton chien, mieux vaut prévenir que maudire.	Fais châtrer ton chien, mieux vaut prévenir que maudire.
en_1223	Stérilisez vos toutous : un chien vaut mieux que deux tu l'auras	Stérilisez vos toutous : un chien vaut mieux que deux tu l'auras
en_1223	Faites stériliser votre animal : un chien vaut mieux que cinq tu n'auras.	Faites stériliser votre animal : un chien vaut mieux que cinq tu n'auras.
en_1223	Stérilisez vos animaux de compagnie: un peu de prévoyance vaut mieux qu'une portée de responsabilités.	Stérilisez vos animaux de compagnie: un peu de prévoyance vaut mieux qu'une portée de responsabilités.
en_1223	J'aurais dû te prévenir plus tôt de castrer ton chien, mais mieux vaut bâtard que jamais.	J'aurais dû te prévenir plus tôt de castrer ton chien, mais mieux vaut bâtard que jamais.
en_1227	Il m'a recommandé le restaurant et il m'a dit qu'il n'avait pas de réservation.	Il m'a recommandé le restaurant et il m'a dit qu'il n'avait pas de réservation.
en_1231	Le mortician tardait à dîner parce qu'il était enterré dans son travail.	Le mortician tardait à dîner parce qu'il était enterré dans son travail.
en_1232	Les vieux recenseurs ne meurent jamais, mais ils ne ressentent plus rien.	Les vieux recenseurs ne meurent jamais, mais ils ne ressentent plus rien.
en_1233	La classe a visité un abattoir, ils sont revenus abattus.	La classe a visité un abattoir, ils sont revenus abattus.
