id	text
en_995	The mathematician worked at home because he only functioned in his domain.
en_996	My name is Bea. I'm in the honey business..
en_1002	OLD PHILOSOPHERS never die, they just retire to their own premises.
en_1008	Did you hear about the nervous preacher? He had sweaty psalms.
en_1009	How do bunnies that don't have a car commute to work? The Rabbit Transit.
en_1015	Piano players know what bar they are in.
en_1016	The Turkish soldier refused to eat cottage cheese, because he didn't trust the kurds
en_1017	Those with scissors shouldn't use cutting words.
en_1018	One of the joys of being a lightweight is that commuting by wind is a breeze!
en_1020	He recommended the restaurant to me, and said he had no reservations.
en_1027	Exposure to the Son prevents burning
en_1029	OLD MAGICIANS never die they just disappear.
en_1031	My name is Brooks. I'm an irrrigation consultant
en_1032	''I need a pencil sharpener,'' said Tom bluntly.
en_1037	The pun in the title of the play ''The Importance of Being Earnest'' was a Wilde idea.
en_1039	Power corrupts, especially at the electric company.
en_1040	When walking through a pig barn be careful how you maneuver.
en_1042	Did you hear about the guy who planted bullets? He wanted to see a lot of little shoots.
en_1044	People who make necklaces may get beady eyes.
en_1045	The police auction was a complete bust.
en_1050	Dentists don't like a hard day at the orifice.
en_1052	Many people need to learn to be happy with the State they are in.
en_1061	My name is Gene, I'm a DNA researcher.
en_1065	The astronomer made a claim about a well - known star, but it wasn't sirius.
en_1067	Massage therapists need a touch of style.
en_1070	OLD GOLFERS never die, they just lose their drive.
en_1073	The baseball pitcher's retirement was at the end of a wonderful ERA.
en_1074	Backups are usually a good thing unless it's a sewer.
en_1075	As they looked at the recreation of the Greek temple on Rodeo Drive while a freak ice storm was occurring, Emily and Henry were astonished by the very unusual frieze.
en_1077	OLD AUTO MECHANICS never die, they just become exhausted.
en_1078	A six foot poet stanza very tall.
en_1083	OLD PLUMBERS never die, they just pipe down.
en_1087	''The policeman charged me twenty bucks for speeding,'' said Tom finally.
en_1088	A surgery nurse was demoted for being absent without gauze.
en_1093	If you spend too much time in the coffee shop you'll be latte for work.
en_1095	OLD GANGSTERS never die, they just go to the underworld..
en_1098	The guitarist passed out on stage, he must have rocked himself to sleep.
en_1101	There was an orchestra conductor who threw tempo tantrums.
en_1103	Communism is a complicated thing. You must think about from all sorts of Engels.
en_1104	If gophers become extinct, the hole ecosystem will die.
en_1105	It's just like a cowboy to stirrup trouble.
en_1109	Come in for a free makeover this Sunday
en_1111	OLD MEDIUMS never die, they just lose their spirits.
en_1114	Having too many axe - like tools to do a particular job only adze to the confusion.
en_1116	The obese editor started a weight redaction program.
en_1117	I saw a beaver movie last night, it was the best dam movie I've ever seen.
en_1118	I didn't understand the math, so the teacher summed it up for me.
en_1128	Cowboys in a rodeo can be sure to get a few bucks.
en_1131	On the way to the church our car broke down. I desperately tried to find some succor to help us resume our journey.
en_1134	Martians welcome. We have space for everyone.
en_1142	My name is Ira. I'm an investment advisor.
en_1143	How do spacemen add more protein to their diet? They make it meteor.
en_1148	OLD PILOTS never die, they just buzz off.
en_1150	A budget helps us live below our yearnings
en_1152	The farmer decided to get a cow, and milk the idea for all it was worth.
en_1155	Don’t let adversity get you down unless you are on your knees
en_1159	''3. 14159265,'' Tom said piously.
en_1161	It was such a big piece of gold, he didn't know what to assay.
en_1162	The owner of the hair salon had to make cuts on his staff.
en_1168	Being a fire - fighter ignited my interest heavily.
en_1174	A hermit drove to town and was charged with recluse driving.
en_1175	A waiter who played tennis was great at serving.
en_1178	OLD SEERS never die they just lose their vision.
en_1189	No one chills out in the fires of hell.
en_1191	Did you hear about the film editor at Hollywood who had a part - time job at a pizza parlor? He used to ask customers whether they wanted one splice or two.
en_1194	OLD KENTUCKY FRIED CHICKEN FRANCHISERS never die, they just chicken out.
en_1197	Inventors have their own devices.
en_1198	For a chemist disappointed in an experiment the reaction was on his face.
en_1202	Neil Simon's only unsuccessful play: Chapter 11.
en_1205	I've spotted more blackbirds than you have, Tom crowed.
en_1208	Those who carry too many buckets start feeling pail.
en_1211	It seems like it's always Patsy's fault.
en_1217	A friend told me he dug a hole in my backyard and filled it with water. I thought he meant well.
en_1233	Business at the candle factory tapered off after the holidays.
en_1234	The Spaniard's wife was always up before the Don.
en_1236	'Volts' - the dance you perform after an electric shock.
en_1241	If a Monk throws a hissy fit, is it a temple tantrum?
en_1245	My father slept under the bed, I think he was a little potty.
en_1246	Math teachers have lots of problems.
en_1252	Occasionally, I hear an assertion followed by a hasty qualification, such as,'' Jim graduated in 1995 -- if memory serves. ''I'll respond: '... or only stands and waits.''
en_1254	When the TV repairman got married the reception was excellent.
en_1267	I'm a great opera singer, said Tom, being callous.
en_1272	When crazy glue was invented lots of people became attached to it.
en_1273	My name is Neal. I lead prayer groups.
en_1283	OLD ELECTRICIANS never die they just lose contact.
en_1289	She was only a Blacksmith's daughter, but she knew how to forge ahead.
en_1292	Upon being shown a uniquely sculptured piece of so - called granite, a geologist remarked to his colleague ''You know that's really gneiss.''
en_1293	Farmers can hardly wheat for a good harvest.
en_1295	He threw jello at his wife, who had him arrested for carrying a congealed weapon.
en_1300	She was only a Colonel's Daughter, but she was great to the navy and rotten to the corps.
en_1301	OLD HIKERS never die, they just trail away.
en_1306	Securities are the cause of many people's insecurities.
en_1310	Kennebunkport was George Bush's maine vacation spot.
en_1312	Doctor, Doctor, should I file my nails? - No. Throw them away like everybody else. Next.
en_1316	Swimming instructors are always getting immersed in their work.
en_1324	OLD QUILTERS never die, they just go under cover.
en_1327	One leftover said to another 'foiled again.'
en_1329	When Martha Stewart was on trial, New York Times columnist Clyde Haberman reported on her arrival at the courthouse, where a group of supporters had assembled to greet her. ''They included a man in a chef's hat who stood with the others behind a metal barrier — one toque over the line.''
en_1335	Once ice cream was invented the problem was licked.
en_1339	In the old days a suspended sentence was hanging.
en_1340	The trumpeter blew it while auditioning for the symphony.
en_1344	At the petting zoo I saw a sheep scratching itself. Turns out it had fleece.
en_1348	These are my parents, said Einstein relatively
en_1349	Those who want to paint polka - dots have to find a good spot.
en_1350	When asked whether or not I was bilingual, I was about to say I knew sign language, but I figured it was sort of a mute point.
en_1352	A china doll was marked in tiny letters: 'maid in USA'.
en_1353	The sweep got stuck in a cold chimney, which collapsed. He came down with the flue.
en_1356	My name is Les. I'm a dietician
en_1358	When my camera fell in the toffee I was making, I got a very candied picture.
en_1359	The aluminum foiled my plans.
en_1360	If a dog was computer literate, would his bark be worse than his byte?
en_1363	My name is Russell, I'm a cattle thief
en_1365	An heir is someone with a descent wage.
en_1370	Poor blood circulation runs through the family.
en_1376	He had trouble in his new job making tents and got himself into a flap.
en_1377	OLD CARDIOLOGISTS never die, they just lose heart.
en_1379	When neon lights were perfected the inventor was positively glowing.
en_1382	He who lends to the poor gets interest from god
en_1393	A guy swallowed a spoon and found he couldn't stir.
en_1396	I got angry when my cell phone battery died. My counselor suggested I find an outlet.
en_1398	After Junior swallowed the watch he had to wait to pass the time.
en_1399	Those who find bargain antiques like to junk for joy.
en_1403	Two monocles were making love in front of a window and made spectacles of themselves.
en_1404	Southerners are quick on the drawl.
en_1407	The size a dieter would like to get to is the sighs of relief.
en_1408	I agreed to watch my neighbor's dog, but only if it didn't scratch me. It's in the clause.
en_1411	I was studying in an apiary class. This resulted in me receiving a bee on my exam.
en_1413	Water leaking through wallboard is usually a ceiling problem.
en_1418	A doctor drank while putting on patients'casts. He was soon plastered.
en_1419	I've never tipped a cow. Then again, one has never served me food.
en_1424	Lamb stew is much ado about mutton
en_1427	They owed me a lot of money for the new house - I billed them.
en_1428	''I'm burning aromatic substances,'' said Tom, incensed.
en_1431	Old colanders never die, they just can't take the strain anymore.
en_1432	''Where shall I plant these water lilies?'' Tom pondered.
en_1438	Dutch shoes used to be made in a factory machine, until it got clogged up.
en_1444	Sometimes our Outlook in Life is sent but not received.
en_1450	She was only a Farmer's daughter, but she knew hundreds of ways to fertilize.
en_1454	OLD HOCKEY PLAYERS never die, they just achieve their final goal.
en_1455	After the lawyer flushed the toilet, it went to the suer.
en_1463	OLD ELECTRICIANS never die, they just do it until it Hz.
en_1465	OLD AUDITORS never die, they just lose their figures.
en_1467	The musician in jail was anxiously awaiting his next release.
en_1470	On cooking shows, there is little margarine of error.
en_1473	Did you hear about the farmer who got attacked by a cow? He milked it for all it was worth.
en_1476	When the goat ate a Scrabble set, the letters came out in alphabetical ordure.
en_1483	An army officer is a position that some people shoot for.
en_1484	De Broglie waved aside the invitation.
en_1494	OLD PRESIDENTS never die, they just go through their cabinets
en_1496	OLD LAWYERS never die they just lose their judgment.
en_1498	OLD TRIGONOMETRY TEACHERS never die, they just lose their identities.
en_1507	My friends call me Mesa because of my big butte.
en_1519	The duke and the count had a fight. The duke was down for the count.
en_1521	My name is Dustin. I'm a school custodian
en_1523	After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints.
en_1524	My advanced geometry class is full of squares.
en_1525	The fireplaces of oriental doctors have an Asian flue.
en_1526	Romance isn't a science - it's a heart.
en_1532	The trucker was always irritated at an inspection station, it was the weight that bothered him.
en_1544	My name is Bud. I'm in flowers.
en_1551	''Waiter, there's a fly in my soup!'' ''Force of habit, sir, the chef used to be a tailor.
en_1556	He drove his car until the day of wreckoning.
en_1558	She was only a Rancher's daughter, but she couldn't keep her calves together.
en_1559	Acrobats are always doing good turns.
en_1560	Do you play the guitar?, Tom asked callously.
en_1561	The meat truck took a long time to deliver because of the Jerky ride.
en_1562	The study of genealogy is a basic requirement for a descent education.
en_1565	OLD TREE SURGEONS never die, they just take a final bough.
en_1574	When I suffered a groin injury I became quite testy.
en_1576	OLD HAIRDRESSERS never dye... or cut.
en_1583	When they told him that his drum couldn't be fixed, it didn't resonate very well.
en_1584	The bicycle salesman had broken his ankle and was, alas, unable to pedal his wares.
en_1585	Jesus did the only extreme world makeover, the flood
en_1588	A man threatened to jump off the side of a building - alledgedly.
en_1590	OLD PILOTS never die they just go to a higher plane.
en_1601	As usual, the chief meteorologist blustered his way through the staff meeting.
en_1602	She memorized just what kind of locket she wanted, by heart.
en_1606	The weather bureau is an umbrella organization.
en_1608	I feel empty inside, Tom hollered.
en_1614	Two banks with different rates have a conflict of interest.
en_1619	Jumping to conclusions is bad exercise
en_1621	Did you hear about the father that was difficult to see? He was transparent.
en_1626	When his clothes dryer broke he was lint another one.
en_1635	The oil well driller had a boring job.
en_1638	A boxer who wants to get married has the ring to worry about.
en_1639	My new theory on inertia doesn't seem to be gaining momentum.
en_1642	Pencil sharpeners have a tough life - they live off tips.
en_1648	When the bad poet stood in front of the judge, the judge thought the punishment should fit the rhyme.
en_1658	His model airplane hobby really took off.
en_1666	You have to give credit to people who work in stores during a holiday - and many people do.
en_1667	Throughout the centuries, the Buddhist herdsmen of Peru have followed their lamas religiously.
en_1672	When the proposal was made to locate the governor's mansion in Albany, New Yorkers said,'' That's a capitol idea.''
en_1673	As Sir Galahad lifted the sacred chalice, the bottom fell out. He had indeed found the holey Grail.
en_1676	I wondered why my geometry class was always tired. They were all out of shape.
en_1682	Giving praise is when you let off esteem.
en_1688	The All - Pro wide receiver's wedding was a little bit shaky, but his reception was excellent.
en_1689	Old school principals never die, they just lose their faculties.
en_1690	The Biomedical Engineer didn't have the heart to check the EKG machine.
en_1695	There was once a cross - eyed teacher who couldn't control his pupils.
en_1699	The play on fishing had quite a cast.
en_1700	I got a nasty electric shock the other day, but I wasn't phased.
en_1713	He was almost persuaded to invest in a poultry farm, but chickened out at the last minute.
en_1725	Everybody was in shock when the hair stylist dyed.
en_1727	The lamb was cold because he lost his muttons.
en_1729	After Gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got nothing but snickers.
en_1730	You're a wicked glutton, Tom insinuated.
en_1735	A young corporal dislocated his arm during a battle but kept going. You could say he was shouldering on.
en_1737	Exposure to the Son may prevent burning
en_1738	A pair of loud twins were stereo speakers.
en_1743	''I can tell which way the wind blows,'' said Tom vainly.
en_1749	I was fighting a Dragon, easier slayed then done.
en_1754	OLD SCHOOL SUPERINTENDENTS   never die, they just lose their principals.
en_1755	Trophy shops often will give customers floss with their purchase to eliminate plaque problems.
en_1761	They replaced the baseball with an orange to add zest to the game.
en_1769	He stayed at the auction to the bidder end.
en_1773	The first fish to gather in schools was the grouper.
en_1782	When you use glue in class it paste to be careful.
en_1785	I was going to buy some loose tea, but the price was too steep.
en_1795	Smaller babies may be delivered by stork but the heavier ones need a crane.
en_1797	An electric company is always looking for high energy employees.
en_1798	A woodcutter's world revolves on his axes.
en_1803	My name is Matt. I'm a doorman.
en_1807	Notice in a field: The farmer allows walkers to cross the field for free, but the bull charges.
en_1812	I'm blind enough to look at the situation in the wrong fashion, so I changed my clothes.
en_1815	The color of the sun in the early morning: rose.
en_1827	At shearing time there are some sheep thrills.
en_1830	I wanted to be a clarinettist but I couldn't reed music.
en_1832	Those who have icicles keep a stiff upper drip.
en_1834	When some people open their mouth they put their feat in.
en_1837	He lit the arrow head because he wanted to fire it.
en_1838	I wrote a novel about a fellow who had a small garden. It didn't have much of a plot.
en_1841	Upon discovering her children playing with matches their mother was flaming mad.
en_1843	I can't budge this huge box!'' I exclaimed. ''Of course not,'' the office supply warehouse clerk replied, ''it's stationery.''.
en_1845	A politician with a bad back needs lots of support.
en_1850	What did the nice girl say when her date invited her home to see his stamp collection? 'Philately will get you nowhere'.
en_1851	Archimedes was buoyant at the thought.
en_1859	A lingerie thief gave a police officer the slip.
en_1860	I like Chinese detective movies, Tom chanted.
en_1867	The hotel chef was noted for his tomfoolery and his capers.
en_1879	Never make fun of a Scotsman's traditional garb. You could get kilt that way.
en_1886	The fish missed the call because he was stuck on the other line.
en_1888	She was only a Bricklayer's daughter, but she was certainly stacked.
en_1891	My name is Derek. I'm in the oil rig business.
en_1896	Even the best bird dog is only good to a point.
en_1898	Everyday is a gift from god, that is why it is called the present
